Date,Volume,Open,High,Low,Close,macd,macds,macdh
2020-12-15,18.471,19.7,19.7,18.7,18.8,0.4421647862300908,0.7203317926773762,-0.2781670064472854
2020-12-16,16.1,18.95,19.55,18.9,19.35,0.3789170985197181,0.6520488538458447,-0.27313175532612655
2020-12-17,31.802,19.65,20.0,19.45,19.75,0.35695475517375996,0.5930300341114277,-0.23607527893766778
2020-12-18,17.5,19.6,20.0,19.6,19.9,0.3476457425218129,0.5439531757935048,-0.19630743327169187
2020-12-21,219.4179,20.0,21.85,20.0,21.85,0.49194613725294545,0.533551768085393,-0.041605630832447504
2020-12-22,215.0253,22.05,22.45,21.25,21.95,0.6073729862616339,0.5483160117206411,0.05905697454099279
2020-12-23,648.2307,22.0,24.1,22.0,24.0,0.8544182612825502,0.609536461633023,0.24488179964952717
2020-12-24,815.9306,24.4,26.0,23.35,24.4,1.070144123349852,0.7016579939763888,0.36848612937346326
2020-12-25,244.9768,24.4,25.0,23.7,24.15,1.207021717580929,0.8027307386972968,0.4042909788836322
2020-12-28,437.3247,24.0,26.0,23.5,25.4,1.4002218644277171,0.9222289638433809,0.4779929005843362
2020-12-29,247.0454,25.7,26.0,24.3,24.85,1.491757912647536,1.036134753604212,0.45562315904332396
2020-12-30,1322.3112,25.1,25.6,24.05,24.55,1.5225424756385877,1.1334162980110871,0.38912617762750057
2020-12-31,157.8229,25.0,25.0,23.8,24.5,1.5253219198550703,1.2117974223798837,0.3135244974751865
2021-01-04,74.2294,24.3,24.4,23.9,24.15,1.4821967331887258,1.2658772845416522,0.21631944864707364
2021-01-05,119.0268,24.05,25.15,24.05,24.65,1.4714041028012623,1.3069826481935742,0.1644214546076881
2021-01-06,114.4706,24.9,25.15,23.05,23.85,1.382362536511355,1.3220586258571303,0.06030391065422469
2021-01-07,52.6399,23.75,24.0,23.15,23.6,1.2769041864379354,1.3130277379732913,-0.03612355153535596
2021-01-08,84.525,23.35,23.55,22.6,22.95,1.1278766564779836,1.2759975216742299,-0.14812086519624623
2021-01-11,50.5208,23.0,23.45,22.95,23.0,1.0022525044412376,1.2212485182276314,-0.21899601378639377
2021-01-12,48.42,23.05,23.05,21.9,22.1,0.8206124707436011,1.1411213087308254,-0.3205088379872243
2021-01-13,47.9,21.9,22.95,21.9,22.5,0.7008590258723046,1.0530688521591212,-0.3522098262868165
2021-01-14,109.8758,23.2,23.4,22.3,23.05,0.6429227482566517,0.9710396313786273,-0.3281168831219755
2021-01-15,67.2799,22.9,23.05,22.0,22.1,0.5144208470106939,0.8797158745050406,-0.3652950274943467
2021-01-18,53.3389,22.0,22.4,20.7,22.3,0.4238347893734229,0.7885396574787171,-0.36470486810529423
2021-01-19,76.4176,22.8,23.3,22.45,22.95,0.39988463265620666,0.710808652514215,-0.3109240198580083
2021-01-20,61.3694,22.95,23.15,21.75,21.75,0.2808366793004815,0.6248142578714683,-0.34397757857098676
2021-01-21,47.2,21.9,22.75,21.8,21.95,0.20031948873060657,0.5399153040432959,-0.33959581531268934
2021-01-22,99.4025,22.35,23.4,21.4,23.0,0.21871406034987118,0.47567505530461096,-0.2569609949547398
2021-01-25,82.3139,23.0,23.6,22.5,23.0,0.23063329383676034,0.4266667030110408,-0.19603340917428047
2021-01-26,193.9369,23.0,24.15,22.85,23.55,0.281218068861115,0.39757697618105564,-0.11635890731994064
2021-01-27,111.805,23.45,23.65,22.6,23.25,0.29371362685613533,0.3768043063160716,-0.08309067945993626
2021-01-28,47.6803,23.0,23.1,22.6,22.8,0.26425899420999954,0.35429524389485717,-0.09003624968485763
2021-01-29,50.2,23.0,23.4,22.65,22.65,0.22620469234524876,0.3286771335849355,-0.10247244123968674
2021-02-01,56.8081,22.25,23.4,22.0,22.9,0.2137552570683603,0.30569275828162046,-0.09193750121326016
2021-02-02,33.2198,23.0,23.2,22.7,22.85,0.19757686467685787,0.2840695795606679,-0.08649271488381005
2021-02-03,36.81,23.2,23.2,22.55,22.6,0.16270687787807958,0.25979703922415026,-0.09709016134607068
2021-02-04,51.23,22.6,23.0,22.05,22.5,0.12555567023940029,0.23294876542720028,-0.10739309518779999
2021-02-05,203.093,22.5,24.35,22.5,23.55,0.17877844863942016,0.22211470206964426,-0.0433362534302241
2021-02-17,359.9651,24.35,25.45,24.25,25.25,0.35405238101961345,0.2485022378596381,0.10555014315997535
2021-02-18,138.8005,25.25,25.25,24.75,25.2,0.4833518735565754,0.29547216499902557,0.18787970855754982
