,Date,Volume,Open,High,Low,Close
179,2021-04-29,2319717,45.6,46.0,44.1,44.9
180,2021-05-03,5185904,44.9,44.9,40.45,40.45
181,2021-05-04,4962405,39.05,40.25,36.45,37.3
182,2021-05-05,3382307,37.5,40.0,37.15,38.3
183,2021-05-06,3245191,39.0,41.3,38.85,39.35
184,2021-05-07,2037517,39.9,40.95,37.7,39.8
185,2021-05-10,2880493,39.8,41.85,38.15,41.6
186,2021-05-11,3308024,40.4,42.2,37.45,38.7
187,2021-05-12,2614196,39.15,39.45,34.85,35.3
188,2021-05-13,1865113,33.25,36.35,31.85,35.05
189,2021-05-14,2347587,37.9,37.9,34.0,34.45
190,2021-05-17,2087960,31.05,33.75,31.05,31.05
191,2021-05-18,1576235,31.3,34.15,31.3,34.15
192,2021-05-19,2560765,35.95,37.55,35.0,37.55
193,2021-05-20,2538840,37.55,38.75,35.6,35.9
194,2021-05-21,1631311,37.0,37.75,36.0,37.05
195,2021-05-24,1378224,36.6,38.5,36.0,37.55
196,2021-05-25,2195360,38.5,39.7,37.35,38.15
197,2021-05-26,1319141,38.15,39.4,37.0,38.95
198,2021-05-27,1165290,38.7,39.4,38.1,38.25
199,2021-05-28,2127713,38.0,40.3,38.0,39.4
200,2021-05-31,8558461,40.3,42.3,39.55,40.65
201,2021-06-01,3951522,41.35,41.65,39.6,40.0
202,2021-06-02,2095589,40.0,40.2,39.2,39.55
203,2021-06-03,824019,39.75,39.95,39.15,39.5
204,2021-06-04,1013450,39.0,39.4,38.5,38.55
205,2021-06-07,1461502,39.0,39.3,37.0,38.5
206,2021-06-08,694575,38.55,38.8,37.75,38.5
207,2021-06-09,1814930,38.15,40.2,38.15,40.0
208,2021-06-10,11935579,41.0,44.0,40.85,44.0
209,2021-06-11,28219498,44.0,46.5,42.3,46.35
210,2021-06-15,16979248,47.15,48.95,46.6,47.2
211,2021-06-16,10897505,46.95,47.9,46.0,47.1
212,2021-06-17,5038754,47.1,48.4,46.55,46.8
213,2021-06-18,9713095,47.3,49.5,45.1,45.3
214,2021-06-21,5843445,44.35,45.0,41.5,42.8
215,2021-06-22,2247871,44.1,44.85,43.05,43.45
216,2021-06-23,2065353,44.7,45.0,43.55,43.65
217,2021-06-24,1225476,44.1,44.75,43.35,43.5
218,2021-06-25,1794040,44.0,44.55,42.8,42.95
219,2021-06-28,1852572,41.85,43.75,41.85,43.6
220,2021-06-29,1298672,43.65,44.1,42.6,42.75
221,2021-06-30,3279150,43.0,45.45,42.75,44.35
