Date,Open,High,Low,Close,Adj Close,Volume
2022-11-04,3217.000000,3220.050049,3166.149902,3217.399902,3153.520020,1464013
2022-11-07,3229.000000,3242.800049,3195.100098,3233.699951,3169.496582,1474498
2022-11-09,3249.800049,3249.800049,3201.649902,3216.050049,3152.197021,1162267
2022-11-10,3170.000000,3225.000000,3170.000000,3205.649902,3142.003418,1573092
2022-11-11,3269.600098,3341.600098,3255.050049,3315.949951,3250.113525,3265394
2022-11-14,3324.000000,3349.000000,3309.000000,3335.500000,3269.275391,1342074
2022-11-15,3321.000000,3339.949951,3292.000000,3332.600098,3266.433105,1400708
2022-11-16,3338.899902,3367.899902,3321.449951,3355.350098,3288.731445,1748235
2022-11-17,3340.000000,3360.000000,3317.750000,3349.000000,3282.507324,1417986
2022-11-18,3350.000000,3362.750000,3321.000000,3343.449951,3277.067383,1164540
2022-11-21,3322.500000,3333.699951,3273.000000,3283.500000,3218.307861,1304194
2022-11-22,3280.000000,3318.949951,3255.250000,3314.949951,3249.133301,1149739
2022-11-23,3330.000000,3330.000000,3291.000000,3308.300049,3242.615479,1150011
2022-11-24,3316.250000,3392.949951,3308.300049,3380.149902,3313.038818,1296591
2022-11-25,3383.000000,3403.350098,3348.000000,3389.649902,3322.350098,1588981
2022-11-28,3366.000000,3417.000000,3365.550049,3395.250000,3327.839111,2195437
2022-11-29,3383.000000,3429.000000,3383.000000,3397.350098,3329.897461,1576028
2022-11-30,3383.000000,3414.899902,3375.000000,3390.800049,3323.477539,3410702
2022-12-01,3425.000000,3480.000000,3420.000000,3475.649902,3406.642578,2180856
2022-12-02,3458.100098,3468.899902,3413.000000,3439.149902,3370.867432,2411749
2022-12-05,3433.000000,3439.149902,3407.000000,3425.899902,3357.880371,1475065
2022-12-06,3400.050049,3407.949951,3368.000000,3385.350098,3318.135742,1166999
2022-12-07,3368.300049,3393.699951,3354.000000,3380.600098,3313.479980,1167505
2022-12-08,3360.000000,3380.600098,3339.449951,3350.550049,3284.026611,1285619
2022-12-09,3374.100098,3374.100098,3276.350098,3292.750000,3227.374023,1797896
2022-12-12,3255.500000,3296.000000,3236.100098,3286.449951,3221.199219,1527610
2022-12-13,3277.199951,3336.449951,3267.800049,3332.100098,3265.942871,1378016
2022-12-14,3348.800049,3377.000000,3340.899902,3365.350098,3298.532715,1213311
2022-12-15,3358.800049,3364.750000,3298.949951,3305.100098,3239.479004,1415694
2022-12-16,3275.000000,3292.000000,3225.199951,3240.250000,3175.916504,2703680
2022-12-19,3227.000000,3245.500000,3194.500000,3202.050049,3138.475098,2120965
